IPC_code,IPC_code_level,Main_Class,Sub_Class_L0_Code,Sub_Class_L1_Code,Sub_Class_L2_Code,Sub_Class_L3_Code,Sub_Class_L4_Code,Sub_Class_L5_Code,Sub_Class_L6_Code,Sub_Class_L7_Code,Sub_Class_L8_Code,Sub_Class_L9_Code,JA_Description,keyword_list
A01B1/00,L0,A01B,A01B1/00,,,,,,,,,,手作業具（芝生の縁切り取り具Ａ０１Ｇ３／０６）,[]
A01B1/02,L1,A01B,A01B1/00,A01B1/02,,,,,,,,,鋤；ショベル,[]
A01B1/04,L2,A01B,A01B1/00,A01B1/02,A01B1/04,,,,,,,,歯を有するもの,[]
A01B1/06,L1,A01B,A01B1/00,A01B1/06,,,,,,,,,ホー；手持ちカルチベーター,[]
A01B1/08,L2,A01B,A01B1/00,A01B1/06,A01B1/08,,,,,,,,一枚刃を有するもの,[]
A01B1/10,L2,A01B,A01B1/00,A01B1/06,A01B1/10,,,,,,,,二枚刃またはそれ以上の刃を有するもの,[]
A01B1/12,L2,A01B,A01B1/00,A01B1/06,A01B1/12,,,,,,,,歯を有する刃を有するもの,[]
A01B1/14,L2,A01B,A01B1/00,A01B1/06,A01B1/14,,,,,,,,歯のみを有するもの,[]
A01B1/16,L1,A01B,A01B1/00,A01B1/16,,,,,,,,,雑草引抜き具,[]
A01B1/18,L2,A01B,A01B1/00,A01B1/16,A01B1/18,,,,,,,,火ばさみ状の道具,[]
A01B1/20,L1,A01B,A01B1/00,A01B1/20,,,,,,,,,異った種類の手道具の組み合わせ,[]
A01B1/22,L1,A01B,A01B1/00,A01B1/22,,,,,,,,,把手に刃または類似物を取りつけたもの；（道具の把手またはそれらの装着物一般Ｂ２５Ｇ）；交換または調整できる刃,[]
A01B1/24,L1,A01B,A01B1/00,A01B1/24,,,,,,,,,牧草または芝生の処理のためのもの［２］,[]
A01B3/00,L0,A01B,A01B3/00,,,,,,,,,,固定刃を有するプラウ,[]
